"","State_UTs_Code","District_Code","CD_Block_Code","Town_Village_Code","Ward_Code","EB_Code","State_UTs_Name","District_Name","Level","Name","Total_Rural_Urban","No_of_Households","Total_Population_Person","Total_Population_Male","Total_Population_Female","Population_in_the_age_group_0_6_Person","Population_in_the_age_group_0_6_Male","Population_in_the_age_group_0_6_Female","Scheduled_Castes_population_Person","Scheduled_Castes_population_Male","Scheduled_Castes_population_Female","Scheduled_Tribes_population_Person","Scheduled_Tribes_population_Male","Scheduled_Tribes_population_Female","Literates_Population_Person","Literates_Population_Male","Literates_Population_Female","Illiterate_Persons","Illiterate_Male","Illiterate_Female","Total_Worker_Population_Person","Total_Worker_Population_Male","Total_Worker_Population_Female","Main_Working_Population_Person","Main_Working_Population_Male","Main_Working_Population_Female","Main_Cultivator_Population_Person","Main_Cultivator_Population_Male","Main_Cultivator_Population_Female","Main_Agricultural_Labourers_Population_Person","Main_Agricultural_Labourers_Population_Male","Main_Agricultural_Labourers_Population_Female","Main_Household_Industries_Population_Person","Main_Household_Industries_Population_Male","Main_Household_Industries_Population_Female","Main_Other_Workers_Population_Person","Main_Other_Workers_Population_Male","Main_Other_Workers_Population_Female","Marginal_Worker_Population_Person","Marginal_Worker_Population_Male","Marginal_Worker_Population_Female","Marginal_Cultivator_Population_Person","Marginal_Cultivator_Population_Male","Marginal_Cultivator_Population_Female","Marginal_Agriculture_Labourers_Population_Person","Marginal_Agriculture_Labourers_Population_Male","Marginal_Agriculture_Labourers_Population_Female","Marginal_Household_Industries_Population_Person","Marginal_Household_Industries_Population_Male","Marginal_Household_Industries_Population_Female","Marginal_Other_Workers_Population_Person","Marginal_Other_Workers_Population_Male","Marginal_Other_Workers_Population_Female","Marginal_Worker_Population_3_6_Person","Marginal_Worker_Population_3_6_Male","Marginal_Worker_Population_3_6_Female","Marginal_Cultivator_Population_3_6_Person","Marginal_Cultivator_Population_3_6_Male","Marginal_Cultivator_Population_3_6_Female","Marginal_Agriculture_Labourers_Population_3_6_Person","Marginal_Agriculture_Labourers_Population_3_6_Male","Marginal_Agriculture_Labourers_Population_3_6_Female","Marginal_Household_Industries_Population_3_6_Person","Marginal_Household_Industries_Population_3_6_Male","Marginal_Household_Industries_Population_3_6_Female","Marginal_Other_Workers_Population_Person_3_6_Person","Marginal_Other_Workers_Population_Person_3_6_Male","Marginal_Other_Workers_Population_Person_3_6_Female","Marginal_Worker_Population_0_3_Person","Marginal_Worker_Population_0_3_Male","Marginal_Worker_Population_0_3_Female","Marginal_Cultivator_Population_0_3_Person","Marginal_Cultivator_Population_0_3_Male","Marginal_Cultivator_Population_0_3_Female","Marginal_Agriculture_Labourers_Population_0_3_Person","Marginal_Agriculture_Labourers_Population_0_3_Male","Marginal_Agriculture_Labourers_Population_0_3_Female","Marginal_Household_Industries_Population_0_3_Person","Marginal_Household_Industries_Population_0_3_Male","Marginal_Household_Industries_Population_0_3_Female","Marginal_Other_Workers_Population_0_3_Person","Marginal_Other_Workers_Population_0_3_Male","Marginal_Other_Workers_Population_0_3_Female","Non_Working_Population_Person","Non_Working_Population_Male","Non_Working_Population_Female"
"1",32,598,104,0,0,0,"KERALA","Alappuzha","CD BLOCK","Veliyanad (Part)","Total",20183,83453,40508,42945,8100,4117,3983,7046,3407,3639,183,84,99,73643,35796,37847,9810,4712,5098,32316,21759,10557,21510,16589,4921,1986,1847,139,6402,4320,2082,630,518,112,12492,9904,2588,10806,5170,5636,718,453,265,5750,2463,3287,214,121,93,4124,2133,1991,8443,4470,3973,655,416,239,4552,2096,2456,176,105,71,3060,1853,1207,2363,700,1663,63,37,26,1198,367,831,38,16,22,1064,280,784,51137,18749,32388
"2",32,598,104,0,0,0,"KERALA","Alappuzha","CD BLOCK","Veliyanad (Part)","Rural",20183,83453,40508,42945,8100,4117,3983,7046,3407,3639,183,84,99,73643,35796,37847,9810,4712,5098,32316,21759,10557,21510,16589,4921,1986,1847,139,6402,4320,2082,630,518,112,12492,9904,2588,10806,5170,5636,718,453,265,5750,2463,3287,214,121,93,4124,2133,1991,8443,4470,3973,655,416,239,4552,2096,2456,176,105,71,3060,1853,1207,2363,700,1663,63,37,26,1198,367,831,38,16,22,1064,280,784,51137,18749,32388
"3",32,598,104,0,0,0,"KERALA","Alappuzha","CD BLOCK","Veliyanad (Part)","Urban",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",32,598,104,628238,0,0,"KERALA","Alappuzha","VILLAGE","Pulinkunnu","Rural",3652,15210,7368,7842,1408,698,710,620,291,329,26,9,17,13574,6605,6969,1636,763,873,5644,3878,1766,3465,2748,717,339,323,16,893,608,285,43,38,5,2190,1779,411,2179,1130,1049,112,91,21,1052,472,580,35,21,14,980,546,434,1832,1020,812,89,75,14,928,438,490,28,18,10,787,489,298,347,110,237,23,16,7,124,34,90,7,3,4,193,57,136,9566,3490,6076
"5",32,598,104,628239,0,0,"KERALA","Alappuzha","VILLAGE","Kunnumma","Rural",3420,14252,6961,7291,1368,689,679,714,347,367,34,15,19,12526,6138,6388,1726,823,903,5408,3678,1730,3087,2475,612,332,315,17,790,563,227,98,77,21,1867,1520,347,2321,1203,1118,92,84,8,1191,576,615,63,39,24,975,504,471,1629,1080,549,86,80,6,857,516,341,49,35,14,637,449,188,692,123,569,6,4,2,334,60,274,14,4,10,338,55,283,8844,3283,5561
"6",32,598,104,628240,0,0,"KERALA","Alappuzha","VILLAGE","Kavalam","Rural",3142,13089,6433,6656,1359,688,671,1375,693,682,21,9,12,11463,5661,5802,1626,772,854,5725,3703,2022,3870,2884,986,345,308,37,1281,814,467,159,131,28,2085,1631,454,1855,819,1036,152,114,38,1063,425,638,56,30,26,584,250,334,1477,678,799,149,112,37,805,337,468,49,24,25,474,205,269,378,141,237,3,2,1,258,88,170,7,6,1,110,45,65,7364,2730,4634
"7",32,598,104,628241,0,0,"KERALA","Alappuzha","VILLAGE","Neelamperoor","Rural",1421,5841,2858,2983,529,272,257,396,181,215,35,27,8,5207,2549,2658,634,309,325,2539,1617,922,1988,1507,481,139,133,6,424,271,153,39,30,9,1386,1073,313,551,110,441,153,7,146,139,32,107,7,5,2,252,66,186,411,96,315,150,7,143,125,30,95,6,5,1,130,54,76,140,14,126,3,0,3,14,2,12,1,0,1,122,12,110,3302,1241,2061
"8",32,598,104,628242,0,0,"KERALA","Alappuzha","VILLAGE","Veliyanad","Rural",3041,12501,6025,6476,1151,573,578,1135,549,586,44,16,28,11078,5371,5707,1423,654,769,4532,3185,1347,3039,2375,664,282,251,31,1079,760,319,127,105,22,1551,1259,292,1493,810,683,98,72,26,795,339,456,24,11,13,576,388,188,1188,709,479,81,63,18,634,283,351,20,10,10,453,353,100,305,101,204,17,9,8,161,56,105,4,1,3,123,35,88,7969,2840,5129
"9",32,598,104,628243,0,0,"KERALA","Alappuzha","VILLAGE","Ramankary","Rural",2611,10755,5187,5568,1077,550,527,1592,756,836,12,3,9,9486,4556,4930,1269,631,638,4115,2776,1339,2772,2131,641,232,218,14,634,402,232,95,80,15,1811,1431,380,1343,645,698,58,46,12,747,325,422,15,8,7,523,266,257,1006,517,489,52,43,9,567,265,302,13,7,6,374,202,172,337,128,209,6,3,3,180,60,120,2,1,1,149,64,85,6640,2411,4229
"10",32,598,104,628247,0,0,"KERALA","Alappuzha","VILLAGE","Edathua  (Part)","Rural",632,2605,1239,1366,284,145,139,290,134,156,9,4,5,2303,1086,1217,302,153,149,1053,662,391,809,570,239,93,85,8,415,256,159,2,1,1,299,228,71,244,92,152,19,9,10,188,65,123,1,1,0,36,17,19,200,75,125,17,8,9,160,55,105,1,1,0,22,11,11,44,17,27,2,1,1,28,10,18,0,0,0,14,6,8,1552,577,975
